comment,rating
"Lâu rồi mới ghé lại chi nhánh Quận 1, mình đi hôm Thứ 7, quán đông, phía tầng dưới đã hết bàn nên phải lên trên lầu, phía trên đây dù ít khách nhưng lại nóng, có thêm quầy làm sushi ngay gần bàn mình ngồi. Điều làm mình không hài lòng đó là mùi tanh, vừa bước lên lầu là đã thấy mùi tanh bao phủ rồi, do chỉ có nhu cầu dùng món ngọt nhưng không khí thiệt làm mất cảm giác ngon miện ghê luôn.",7
"Morico là một thương hiệu được gọi là quen thuộc với team foody ấy 😂 Và mùa nào cũng ngóng chờ món mới ra mắt vì độ decor xinh xịn xò của morico 😍😍
Và mùa này thì morico ra mắt dòng sakura & genmaicha và nhìn hình là muốn thử liền )))))
---------------------------------------------------------
Mình gọi 3 món gồm 1 món cũ kiểu trà trái cây, dâu rừng, 1 Genmaicha sakura latte và 1 Sakura Ame Plated Dessert. Mình nhận xét 2 món mùa mới thôi nhé ❤️❤️
🍵🍵 Genmaicha sakura latte (88k/98k-M/L): Kiểu đậm mùi gạo rang và mình nghe có vị trà xanh nữa ấy, khá thơm và chuẩn mùi, mình có check in thì được thêm 1 phần trân châu sakura 20k uống cùng cũng hợp nữa ấy ^^ Nhưng vị này hơi kén người tí 😂
🍓🍓Ame Plated Desert (128k): Món này siêu đẹp luôn huhu kiểu concept hoa anh đào nở nên trang trí bắt mắt, nhưng mà thích nhất chắc cái panacotta sakura còn lại thì ăn cũng được ☺️☺️
Nhân viên cute, dịch vụ tốt quá chừng. Nói chung cũng khá ok so với tầm giá ạ :3",8.2
"Fan của matcha nên rất muốn thử một lần matcha ở đây
Matcha shiratama: có viên kem matcha & shiratama, kem ngon, viên nếp dẻo cũng ngon, matcha thì đắng hơn mình nghĩ rất nhiều, nên phải xin thêm sữa, nhân viên cũng rất nhiệt tình đem cho mình
Anmitsu monaka set: nhìn hình thấy thích thích nên gọi thử, riêng mình thì chỉ thích viên kem matcha và trái cây, kanten thì ko có gì đặc biệt lắm
Nói chung là ok lắm, phần 2 ng của tụi mình hơi đắt xíu nhưng lâu lâu lần thì đc",7.4
"fan của matcha nên rất muốn thử một lần matcha ở đây Matcha shiratama: có viên kem matcha & shiratama, kem ngon, viên nếp dẻo cũng ngon, matcha thì đắng hơn mình nghĩ rất nhiều, nên phải xin thêm sữa, nhân viên cũng rất nhiệt tình đem cho mình Anmitsu monaka set: nhìn hình thấy thích thích nên gọi thử, riêng mình thì chỉ thích viên kem matcha và trái cây, kanten thì ko có gì đặc biệt lắm Nói chung là ok lắm, phần 2 ng của tụi mình hơi đắt xíu nhưng lâu lâu lần thì đc",7.6
Đồ ăn ở đây ăn rất vừa miệng và ngon .,9
"Mình thường ghé chi nhánh này nhất. Hnay mùng 5 mình ỷ y ko book bàn trc. Lúc đến thì full bàn nên nv bảo mình ngồi đợi 1 tí. Tầm 10’ là có bàn ròi. 
Lúc order thì nv cũng có thông báo nhẹ là vì Tết đông khách nên lên món sẽ chậm 1 tí. Mình order Houjicha Float, Matcha Warabi Mochi vs Soft Cream Matcha Jelly Zenzai. 
Lâu ròi mới ăn lại mochi thấy vẫn ngon như xưa. Houjicha thì khỏi bàn, vẫn best of the best. Lần này thay vì gọi parfait như mọi lần thì mình thử món Matcha Jelly Zenzai. Ngon lắm. Nhưng vì có đậu đỏ nên hơi ngọt. Nếu ít ngọt tí thì sẽ ngon hơn. 
Tết nhà hàng đông nên chờ món hơi lâu. Mỗi món mình phải đợi tầm 15’. Riêng món zenzai lúc bưng ra cho mình thì cục kem tươi đã chảy tan nát nên mình có bảo nv đổi lại phần khác, chứ kem chảy v mình ko ăn đc. Nv vẫn mang vào đổi lại phần khác cho mình. Điểm cộng cho thái độ pv. Lát sau bưng ra phần mới thì cục kem bị đổ. Bạn nv mang vào chỉnh lại ròi mang ra vẫn bị đổ:))))))) Thấy tội qá nên mình nói thôi ko cần chỉnh nữa, miễn cục kem ko bị chảy ra là đc dòi. Lại cộng điểm cho thái độ nhiệt tình. 
Nhà hàng có discount 10% cho chủ thẻ citibank. Lúc tính tiền nv sẽ hỏi khách chứ ko hề giấu giếm vđ này. Lại cộng điểm. 
Nói chung mình sẽ vẫn thường xuyên ghé Morico mỗi khi thèm matcha hay parfait. Có nhìu người bảo sau khi đổi tên thành Morico thì chất lượng nhà hàng ko còn như trc. Nhưng mình thì vẫn thấy ko có thay đổi gì. Chất lượng và phục vụ vẫn tốt như xưa h.",8.8
"Bánh ngon, gía vừa. 
#springyokoso #moricocafe #tamdungvatanhuong",10
"Hôm vừa rồi nhân dịp có một số voucher của morico nên là mình với nhỏ em quay lại đây ăn ☺️
Mình thì thích morico đặc biệt là mấy món matcha ấy nhưng mà combo tết năm nay thì lại nhấn vào chủ đạo màu đỏ berry nên là tụi mình chỉ gọi 1 phần nước trong combo tết là lucky spring thôi còn lại là gọi thêm đồ mặn và món matcha riêng. Tụi mình gọi 1 combo lunch 5, 1 trà atiso sương sáo, 1 bánh xoài và panacotta matcha ( các món đều phải gọi set lunch thì mới được add kèm nha)
Đầu tiên thì mình nhận xét trước về set lunch nhé: nói chung mỗi loại một ít và mang đậm chất Nhật. Có thịt heo chiên, cá saba chiên, súp miso, xà lách và gừng ngâm ăn kèm. Đồ ăn theo kiểu Nhật nên không nêm nếm nhiều vì vậy nên ăn kèm nước tương sẽ khá ok. Đồ ăn tươi ngon và khá vừa miệng. Bánh xoài thì thơm mùi xoài tươi nhưng cốt bánh hơi khô, nước atiso thì hơi nhạt và không thơm lắm, panacotta ok nè vì có vị béo nhẹ của whipping cream và đắng đắng matcha ăn không ngán 👍👍
Còn về ly lucky spring thì mình thấy cũng bình thường, vị thơm mùi dâu rừng nhưng hơi nhạt tí. Tổng quan uống cũng được nhưng không để lại ấn tượng cho mình nhiều như những mùa trước :(
Nhân viên thì nhiệt tình lắm, mình đi trưa nên cũng yên ắng, thoáng
Chắc phải chờ ăn thêm một số món mùa này thì mới đánh giá được hết ấy 😂😂",7.2
"Morico vẫn là một trong những quán mà mình ghé thường xuyên hằng năm, chất lượng ổn định và nhân viên lịch sự chu đáo. Món nước mình thích nhất vẫn là matcha đá xay với kem mè đen và shiratama, nay thử ăn sushi thấy cũng ok nhưng hơi nguội, cơm cà ri cũng ngon nhưng với giá 148k thì hơi ít, mình ăn cơm cà ri bên sushi Tei nhớ đâu có 120k mà bưng cái tô ra ngập mặt 🤪 Lẽ ra định tới thử menu tết mà mấy món đó nhìn không hấp dẫn với mình, mình vẫn thích yokoso tập trung vào matcha hơn.",7.6
"Menu mới cho năm mới, có rất nhiều món hấp dẫn , hôm nay đi một mình ăn trưa nên chỉ mới thử dc 1 món thôi, ly này là lucky sping là trà mơ là các loại trái cây như phúc bồn tử và trái vải, vị nhẹ nhàng thơm thoang thoảng mùi trái cây và coa chút chua chua nhẹ rất kích thích vị giác. Đặc biệt còn có chương trình check in nhận quà nữa nha, quà cực cute luôn hihi",9.4
"Cứ mỗi lần bên này có menu yokoso mới lại hào hứng đi dùng thử xem sự sáng tạo không giới hạn của morico ngay. 
Hôm nay thử trước ly nước Lucky Spring này. 
Được giới thiệu là trà mơ cùng các loại dâu, có thêm raspberry và vải tươi dùng chung nữa. 
Cảm nhận đầu tiên là ly nước này thơm mùi vải,dâu, thoang thoảng mùi mơ lun rất dễ chịu. 
Nước uống vị chua ngọt vừa phải, uống mát, trái cây tươi giòn, mùi mơ chỉ nhẹ vừa đủ thôi chứ không phải chủ yếu nên khá dễ chịu luôn. 
Nhân viên nhiệt tình hướng dẫn mình chụp checkin các kiểu để bốc thăm trúng quà nữa. May mắn được trúng đồng xu con heo năm mới được nhập từ nhật luôn 😄😄😄",9.2
"Lần đầu tiên tới đây, cảm thấy không gian rất thoải mái, nhân viên nhiệt tình, thân thiện. Món ăn ngon.",9
Lại một mùa mới của Morico nè. Có nhiều phần quà mới để bốc thăm nữa 😍😍😍,5
"✨Hôm mình đi là đúng dịp có chương trình Buy 1 get 1 free Matcha Float, mình chưa uống bao giờ nên cũng được dịp dùng thử. Giá em này là 78k. Vì matcha khá đặc và đậm mùi nên mình thích dùng với sữa hơn để đỡ đắng, ai chưa quen mùi lắm có thể thêm đường để bớt đắng hơn
✨Kêu thêm đĩa Fries French 48k để nhắm cho vui miệng :))) khoai tây chiên giòn rụm với rong biển, để ráo dầu, mang ra còn nóng hổi luôn. Ăn ngon miệng lắm, chấm với sốt xí muội nhưng mình thấy hơi nhạt với sốt ít quá nên mình xin thêm tương ớt

À đợt này mình đi là từ tháng trước mà bây giờ mới review lại nên còn mấy hình từ đợt Giáng Sinh 😊 Đi cũng mấy đợt rồi mà không được lên lầu ngồi toàn ngồi tầng dưới ko à chưa có có cơ hội ngồi trên lầu",9
"Morico 
Ispahan macaron phải nói là xuất sắc, rất rất ngon 🤭 Vỏ macaron ngọt ngọt với mấy trái raspberry chua chua , có thạch vải và cream hoa hồng bên trong . Best thật sự 😭😭😭😭 
Monaca Houjicha Parfait ngon tất trừ cái bánh kẹp kem dở banh nhà 😂 bỏ cái bánh đó ra thì ly parfait này 10 điểm
combo này 236k hen",7
"Cơm cà ri heo chiên xù phô mai tới 149k mà không ngon gì hết trơn. Mình không thích hương vị cà ri ở đây, nó hơi khó ăn. Phô mai thì có tí xíu à.
Món gà với mì lạnh trà xanh thì ok, gà siêu ngon luôn.",7
"Lâu rồi mới quay lại morico ăn, nhưng thật sự chưa bao giờ có thể thất vọng với quán. Từ cách phục vụ của nhân viên đến chất lượng món ăn. 2 món trong hình là
Matcha jelly take: món tráng miệng vị trà xanh bỏ trong ống tre, gồm một viên kem trà xanh, đậu đỏ nghiền, mochi, thạch trà xanh mà ăn giống sương sáo kèm theo sốt trà xanh dành cho những ai thích đắng. 
Kinako warabi mochi: mochi đậu nành phủ bột đậu nành, không dẻo như mochi tròn nhưng giống như kết hợp giữa sương sâm và mochi vậy, vừa dẻo mà vẫn tan trong miệng. Ăn kèm là mochi tròn, một viên kem mè đen và sốt mật ong và sốt đậu đỏ.",9.6
"Mình ăn bento ở morico hai lần, lần 1 ở sg pearl rất ok. Lần này đặt deli tại gần nhà. Mà đợi lâu oi là lâu luôn. Tới nơi thì đồ nguội ngắt hơi buồn một tẹo. 
Đồ ăn cũng khá đủ. Ăn no. Chắc tại có mã giảm nên chất lượng hơi giảm một tí.",5
"Phải nói là 1 trong những chi nhánh của Morico mà mình ghé nhiều nhất là chi nhánh Lê Lợi. Tại hình như đây là chi nhánh chính hay sao á, nên mình toàn được đi ở đây. Riết cũng quen nên mình ghé quài, nhiều khi chị nhân viên chắc cũng nhớ mặt luôn :)) Hình này gộp cả 2 đợt đi cũng lâu rồi mà giờ mới post lên Foody để review nè",8
"Lâu rồi không ghé, hôm nay mình đến để dùng thử Menu Giáng Sinh. Tuy nhiên, khi đến quán chỉ còn phục vụ 02 món trong Menu. Mặc dù, một số món trên Menu ghi thời hạn phục vụ tới 1/1. Cảm giác hơi hụt hẫng. Ấn tượng đầu không đẹp lắm.

Mình vẫn gọi món mình thích nhất ở đây. Nhưng chưa bao giờ mình uống ly Panna Cotta Strawberry Matcha được decor tệ đến như vậy! Phần sốt dâu không thấy đâu, uống vào vị ngọt của kết hợp với mùi thơm của trà không còn nữa.

Phục vụ vẫn tốt, vẫn chuyên nghiệp và nhiệt tình như những lần mình đến. Nhưng chất lượng mình cảm thấy đi xuống dần. Cảm giác mỗi lần đến Morico và mong chờ quay trở lại không còn nữa.",5.6
"Món này là món mới theo mùa (ăn lúc mới ra mà giờ mới nhớ review).
Màu đỏ chủ đạo là thấy giáng sinh tới rồi )). Bánh mềm, thơm và tơi. Phía trong là có lớp phô mai chảy ra kaka nhìn ảo tung diệu ăn cùng lớp kem vani lành lạnh khá thích. Quả phúc bồn tử ôi mợ ơi nó chua, kèm với bánh và vụn socola khá hợp.
Điểm duy nhất t không thích là bánh ngọt cực,càng ăn càng ngọt. Mình chỉ ăn được một nửa còn lại bỏ vì mình ăn ít ngọt mà bánh cực ngọt. Bớt ngọt tí thì tuyệt vời ông mặt trời.
Nhân viên ở đây cực thân thiện và vui vẻ, anh bảo vệ cũng cực dễ thương...
Nhân viên: cực thân thiện, anh bảo vệ hơi bị có tâm luôn.
Không gian: vì dùng đèn vàng và bàn ghế gỗ nên tạo cho mình cảm giác ấm áp, quán có 2 tầng, tầng 1 chủ yếu là ghế đệm hợp với uống và ăn dessert, còn tầng 2 phù hợp ăn sushi (cá nhân mình nghĩ vậy). À tầng 2 còn có bàn bao quanh khu làm sushi nữa có thể vừa ăn vừa nhìn anh đầu bếp làm thành quả. Ngoài ra trên này có có 2 kệ trồng sen đá và xương rồng, hơi bị thích chỗ này (vì mình là fan sen đá )",8.4
"Đã là fan của Morico từ khi tiệm còn tên Mof, iu từ nước uống tới ramen sushi... chưa bao giờ thất vọng ❤️ nhân ngày rảnh rỗi nên lôi hình cũ ra làm chút review ^^",9
"Mình đến mua socola tươi tặng bạn thôi, ngồi 1 xíu chờ lấy đem về nhưng phục vụ rất tuyệt vời, còn tặng mình giấy bút để ghi lời chúc. Sẽ dẫn bạn đến đây ăn sau",8
"- Trải nghiệm với Morico
#winteryokoso
#tamdungvatanhuong
#moricocafe
#tramdungmorico",8.2
"Morico 
Ispahan macaron phải nói là xuất sắc, rất rất ngon 🤭 Vỏ macaron ngọt ngọt với mấy trái raspberry chua chua , có thạch vải và cream hoa hồng bên trong . Best thật sự 😭😭😭😭 
Monaca Houjicha Parfait ngon tất trừ cái bánh kẹp kem dở banh nhà 😂 bỏ cái bánh đó ra thì ly parfait này 10 điểm
combo này 236k hen",6.2
"Nghe danh từ lúc còn thương hiệu cũ đến giờ mới đến thử được. Quán nhìn ấm, không gian rộng, nhân viên kiểu lịch sự nhã nhặn. 

Bánh matcha chocolate, bánh dạng lava nóng chảy ở trong hoà 2 nhân matcha và chocolate, mà không thấy nóng với dạng chảy cho lắm, kiểu sệt sệt hơn. Đắng ngọt vừa. Kem vani kèm theo hơi ngọt gắt so với khẩu vị, ngọt thanh thì sẽ ok hơn vì bánh đã ngọt rồi. 

Kem tuyết matcha, đá bào matcha nhuyễn đậm đà hương vị matcha, hơi đắng nhẹ, rưới nước đường cùng sữa matcha kèm theo ăn vào thì ổn. Kem kèm theo mềm tan ngọt ít hơn kem viên. Bánh dẻo ăn kèm siêu dẻo, hơi dính răng chút. 

Nhìn chung chất lượng đúng chuẩn matcha, hương vị ngon lành kèm phục vụ tương xứng giá cả, lâu lâu quỡn đến thử thì oke chứ đường đi vào hơi bất tiện xe cộ.",7
"Mới đầu tính ăn đồ ngọt mà do chưa ăn tối nên mình và em gái chuyển qua ăn món mặn hết lun. Nhân viên vẫn phục vụ tận tình, chu đáo như ngày nào. Mình gọi:
12. Oyakodon Set - 108k cơm chiên thịt gà với trứng, mì udon và bánh xếp Nhật là món em mình kêu. Cơm chiên có nấm nữa cũng bình thường, cơm còn khá là mềm. Được cái udon đi kèm thì ngon.
9. Chasu Ramen Set - 118k mì ramen xá xíu & bánh xếp Nhật là món của mình. Có thể chọn độ cay cho mì ramen nha và mình chọn cay nhiều. Mới ăn thì thấy hơi dội vì độ cay của nó nhưng vị cay ko kéo dài lâu đâu. Mình thích sợi mì udon bên tô kia hơn là sợi mì ramen này, cứ như sợi bún ấy. Trứng lòng đào ngon. Bánh xếp gyoza cũng ngon, nhân thịt nhiều. Mỗi thứ ăn 1 ít mà no luôn.",8
"Nếu bạn muốn tìm một quán dessert hay ăn mặn Nhật Bản chuẩn vị thì Morico là điểm lý tưởng đó. Mình trải nghiệm Morico đa dạng hơn khi tham dự offline do foody tổ chức. Lúc ấy không gian vẫn chưa sửa chữa,h thì đổi mới đẹp hơn rồi.

Món đồ uống ruột của mình là Houjicha ,lúc nào cũng gọi Iced Houjicha Shiratama hết . Vị Houjicha thơm ,ngọt nhẹ cộng thêm cục kem nữa ăn đã😋 Rồi các món ăn được bày biện chuẩn japanese style đẹp mắt , có cái gia vị Nhật mình ăn k hợp lắm,cá r mấy đồ chiên thì Morico làm hơi bị “xịn “,ráo dầu,giòn tan,thấm vị. Tay nghề hơn cả một số nhà hàng Nhật mình từng đi.

Nhân viên chuyên nghiệp, giữ xe miễn phí.",8
"#winteryokoso #tramdungmorico
#tamdung&tanhuong",8.4
"Bữa con bạn thèm chocolate tươi ở đây nên cũng ghé vô ăn luôn, quán giờ lô cốt nhiều nên đi hơi khó xíu nha các bạn, tại đang gần khu này nên đi luôn cho tiện. Mình đi lúc tầm 8-9h nên quán hơi đông nhưng cũng không ồn lắm, quán rộng rãi ok lắm. Nhân viên cũng nhiệt tình. Giữ xe thì miễn phí. Mình gọi một phần chocolate mix mùi. Có hoa hồng, houjicha, matcha và original. Cá nhân mình thấy original là ok nhất, rồi tới matcha, 2 vị còn lại hơi ngọt gắt, với lại vị hoa hồng cứ sao sao mình không thích xíu.",7
"Đi ăn món Nhật phải nghĩ ngay đến Morico. Món ăn - không gian - phục vụ ở Morico Lê Lợi luôn luôn làm cho mình thoải mái - hài lòng. 
Mùa Yokoso Noel năm nay không ""hoành tráng"" bằng năm ngoái lắm. Nhưng có nhiều món vị mới lạ - bắt mắt. Mà khi đã thử 1 lần là muốn ăn hoài.",8.4
"Lâu lâu quay lại với MORICO luôn có cảm giác thân thuộc như đây là bạn. Món ăn ở đây luôn hấp dẫn món ăn ngày càng chất lượng và bắt mắt ( từ menu chính đến menu yokoso), ăn món nào cũng kích thích vị giác thèm ăn của mình. Các bạn nhân viên luôn nhiệt tình ,tươi tắn và dễ thương. Không gian thường xuyên đổi mới và tạo cảm giác ấm cúng",10
#winteryokoso,10
#winteryokoso #tramdungmorico #tamdungvatanhuong #moricocafe,8.8
"Lâu lắm mới ngồi không gian tầng trệt của Morico Lê Lợi, mới sửa lại ngồi thoáng với đẹp hơn hẳn. Sake sashimi tươi, phần chirashi sashimi salad thây nhiều hơn hẳn mọi khi ăn ngon. Green detox kiểu ngọt ngọt dễ uống. Nhân viên thân thiện nhiệt tình.",8.2
"Morico 
Ispahan macaron phải nói là xuất sắc, rất rất ngon 🤭 Vỏ macaron ngọt ngọt với mấy trái raspberry chua chua , có thạch vải và cream hoa hồng bên trong . Best thật sự 😭😭😭😭 
Monaca Houjicha Parfait ngon tất trừ cái bánh kẹp kem dở banh nhà 😂 bỏ cái bánh đó ra thì ly parfait này 10 điểm
combo này 236k hen",7
"#winteryokoso #tramdungmorico #tamdung&tanhuong
Chương trình check in để nhận quà",6.4
"Ăn trưa ko cần ăn no - đó là tiêu chí của mình nên thích cách ăn của người Nhật, mà đúng style Japan thì phải ghé Morico thôi.

Gọi Mì xanh lạnh ăn cùng nước sốt nhẹ nhàng, sợi mì mềm, tươi, trình bày đẹp. Gọi thêm phần Salad rau da cá hồi nữa cho đỡ ngán.

Kết show gọi 1 phần bánh Panna Cotta và Ly Parfait cho 2 người ăn là chuẩn lun. Panna Cotta béo, thơm, mịn màng nhờ làm từ nguyên liệu xịn. 

Ly Parfait ko ngọt là mình ưng.

Nhân viên phục vụ ở chi nhánh này dễ thương.",8.4
"🎅🎅Noel này đi dạo lòng vòng Sài Gòn mà không ghé Morico để dùng Menu Seasonal là một thiếu sót lớn. 🎅🎅
Menu kì này đậm sắc màu Giánh Sinh và có cả những phần quà độc quyền, dễ thương chỉ có tại Morico dành cho khách check-in nữa nha. 
Cứ check-in là có quà, 100% quà tặng luôn. 
Tranh thủ làm vài cái kiếm quà cưng cưng đem về làm kỷ niệm thôi 🎁🎁",9
Yum yum,10
"Mùa Noel lại sắp đến rồi, Morico lại có menu Winter yokoso mới
Đến Morico #tạm dừng & tận hưởng nhé! 

Mùa này ngoài được ăn ngon - chụp đẹp còn có những quà tặng dễ thương mang về nữa 😁",8.6
"Phần bingsu trái cây 149k ăn tầm 2-3 người, oder sẽ được tặng thêm phần bánh kẹp hình hoa cúc, không gian bao xin, thích lắm",7.4
"Morico quá nổi tiếng về các món dessert Nhật rồi. Hồi tụi mình được trúng voucher rủ nhau đi ăn. Gọi 1 cái hộp gỗ Tiramisu Socola ,1 hộp gỗ Tiramisu matcha. 1 bánh Waffle kem matcha +kem houjicha đậu đỏ .Tụi mình không hảo cái Tiramisu lắm vì có lẽ lo chụp ảnh quá nhiều,bánh tan chảy nước mềm nhũn ăn mất ngon,so hai bánh thì thấy thích socola hơn ,đắng đắng béo béo😂 Còn món bánh waffle tụi mình cực thích . Bánh waffle giòn ăn kèm lớp kem Whipping nhạt béo cộng chút ngọt của đậu đỏ ,sốt mật ong ,mochi dẻo rất hoà quyện^^.Kem houjicha viên to,vị ngon và dễ ăn hơn matcha nhiều,nên gọi nhaaaaa👍
Nhân viên hôm ấy k nhiệt tình bằng các bạn trước nhưng cũng thân thiện,lịch sự.
Quán lúc ấy mình đi chưa sửa,h sửa lại đẹp đẽ hơn r nè.",8
"Không gian trên lầu ở chi nhánh Lê Lợi mới sửa lại siêu đẹp. Thích nhất cái góc quầy vừa ngồi ăn vừa xem nhân viên làm mấy món sashimi. Sashimi cá hồi tươi, decor đẹp, ăn ngon, dạo này Morico đổi menu mới thấy mấy món sashimi trang trí đẹp hơn hẳn. Mì kim chi ramen là món quen rồi. Nhân viên thân thiện nhiệt tình",8.6
